time,open,high,low,close
2025-12-07T18:00:00-05:00,6940.25,6943.5,6938.5,6940
2025-12-07T18:01:00-05:00,6939.75,6941.25,6936.75,6938.25
2025-12-07T18:02:00-05:00,6938.25,6939.5,6938.25,6938.25
2025-12-07T18:03:00-05:00,6938.5,6938.75,6937.25,6937.75
2025-12-07T18:04:00-05:00,6938,6938,6936.5,6937.5
2025-12-07T18:05:00-05:00,6937.25,6937.25,6935,6935.25
2025-12-07T18:06:00-05:00,6935.5,6937,6934.5,6936.5
2025-12-07T18:07:00-05:00,6936.25,6938.5,6936.25,6937.25
2025-12-07T18:08:00-05:00,6937.5,6938.5,6937,6938.25
2025-12-07T18:09:00-05:00,6938.25,6939.25,6937.5,6937.75
2025-12-07T18:10:00-05:00,6937.75,6937.75,6937,6937.5
2025-12-07T18:11:00-05:00,6937.25,6937.75,6937.25,6937.75
2025-12-07T18:12:00-05:00,6938,6938.25,6937.25,6937.5
2025-12-07T18:13:00-05:00,6937.25,6937.25,6936.5,6936.5
2025-12-07T18:14:00-05:00,6936.25,6936.25,6934.75,6935.75
2025-12-07T18:15:00-05:00,6935.75,6936,6935,6935.75
2025-12-07T18:16:00-05:00,6935.75,6936.75,6935.75,6936.75
2025-12-07T18:17:00-05:00,6936.75,6938.25,6936.5,6937.75
2025-12-07T18:18:00-05:00,6937.5,6938,6936.5,6936.75
2025-12-07T18:19:00-05:00,6937,6937,6935.5,6936.5
2025-12-07T18:20:00-05:00,6936.5,6937.75,6936.5,6937.5
2025-12-07T18:21:00-05:00,6937.5,6939.75,6937.5,6939.75
2025-12-07T18:22:00-05:00,6939.75,6939.75,6938.5,6938.75
2025-12-07T18:23:00-05:00,6938.75,6939,6937.75,6939
2025-12-07T18:24:00-05:00,6939.25,6940,6938.75,6938.75
2025-12-07T18:25:00-05:00,6939,6939.5,6938.5,6938.75
2025-12-07T18:26:00-05:00,6938.5,6938.5,6935.75,6937
2025-12-07T18:27:00-05:00,6937,6937.5,6936.75,6937.25
2025-12-07T18:28:00-05:00,6937.5,6938.5,6937,6938.5
2025-12-07T18:29:00-05:00,6938.75,6939.25,6938.75,6939
2025-12-07T18:30:00-05:00,6938.75,6940,6938.5,6939.25
2025-12-07T18:31:00-05:00,6939.5,6939.5,6938.25,6938.25
2025-12-07T18:32:00-05:00,6938.5,6939,6938.25,6939
2025-12-07T18:33:00-05:00,6939,6939.5,6938.5,6939.5
2025-12-07T18:34:00-05:00,6939.25,6939.75,6939,6939.25
2025-12-07T18:35:00-05:00,6939.25,6940.5,6939.25,6939.75
2025-12-07T18:36:00-05:00,6939.5,6940.75,6939.25,6940.25
2025-12-07T18:37:00-05:00,6940.25,6940.25,6939.75,6939.75
2025-12-07T18:38:00-05:00,6939.75,6940,6938.75,6939.75
2025-12-07T18:39:00-05:00,6939.75,6939.75,6939.25,6939.25
