time,open,high,low,close
2025-12-07T18:00:00-05:00,25997.25,26017.25,25991.5,25998.25
2025-12-07T18:01:00-05:00,25998.75,26002.25,25977,25988.5
2025-12-07T18:02:00-05:00,25986.75,25993.75,25986,25986.5
2025-12-07T18:03:00-05:00,25986.5,25988.25,25980,25984.75
2025-12-07T18:04:00-05:00,25985,25986.5,25978.25,25986
2025-12-07T18:05:00-05:00,25984.75,25985.75,25970.75,25972.5
2025-12-07T18:06:00-05:00,25971.5,25983.75,25966.75,25979.25
2025-12-07T18:07:00-05:00,25978,25989.5,25978,25984
2025-12-07T18:08:00-05:00,25984,25993.5,25981.75,25989.75
2025-12-07T18:09:00-05:00,25989,25994.25,25985.75,25986.5
2025-12-07T18:10:00-05:00,25986,25986.5,25982.5,25985.5
2025-12-07T18:11:00-05:00,25986.25,25989.75,25984.75,25989.75
2025-12-07T18:12:00-05:00,25989.5,25991,25984.25,25985
2025-12-07T18:13:00-05:00,25984.75,25984.75,25980.25,25981
2025-12-07T18:14:00-05:00,25980.75,25980.75,25970.75,25977
2025-12-07T18:15:00-05:00,25975.5,25978.5,25972.25,25976
2025-12-07T18:16:00-05:00,25977.25,25983.75,25976.75,25983.5
2025-12-07T18:17:00-05:00,25984,25991.75,25981.25,25988.25
2025-12-07T18:18:00-05:00,25985.5,25990,25981.25,25982.75
2025-12-07T18:19:00-05:00,25984.75,25984.75,25978.25,25983.5
2025-12-07T18:20:00-05:00,25983.75,25989.75,25983.75,25989.25
2025-12-07T18:21:00-05:00,25989.5,26001.75,25989.5,25999.5
2025-12-07T18:22:00-05:00,25999,26000.25,25992.25,25992.25
2025-12-07T18:23:00-05:00,25992,25997.25,25990.5,25997.25
2025-12-07T18:24:00-05:00,25997.75,26001.75,25994.75,25996.5
2025-12-07T18:25:00-05:00,25997,25999.5,25993.25,25993.75
2025-12-07T18:26:00-05:00,25992.75,25993.75,25980.75,25985.75
2025-12-07T18:27:00-05:00,25985.5,25988.25,25982.25,25987.75
2025-12-07T18:28:00-05:00,25988,25992.75,25985.75,25992.25
2025-12-07T18:29:00-05:00,25993.25,25995.25,25993,25993.5
2025-12-07T18:30:00-05:00,25993.25,25998,25990.25,25994.5
2025-12-07T18:31:00-05:00,25996,26000,25992.75,25995.75
2025-12-07T18:32:00-05:00,25993.25,25997.5,25993,25995.25
2025-12-07T18:33:00-05:00,25996.5,25997.5,25992.75,25997.5
2025-12-07T18:34:00-05:00,25997.5,25999.5,25994,25997.5
2025-12-07T18:35:00-05:00,25997.5,26003.75,25997,25999
2025-12-07T18:36:00-05:00,25999.25,26002.75,25997.5,26001
2025-12-07T18:37:00-05:00,26000.75,26001,25998.25,25998.25
2025-12-07T18:38:00-05:00,25998.25,25999.5,25993.5,25997
2025-12-07T18:39:00-05:00,25997,25997.25,25994.25,25996
2025-12-07T18:40:00-05:00,25995.75,25996.25,25993.25,25993.5
2025-12-07T18:41:00-05:00,25993.25,25994.5,25991.5,25991.75
